order_id,product_category
ORD_0000688,"Plastik / Wadah Plastik"
ORD_0000688,"Rak / Rak Serbaguna"
ORD_0000688,"Sapu / Pembersih Lantai"
ORD_0000689,"Aksesoris Pintu"
ORD_0000690,"Bangku / Kursi Kecil"
ORD_0000691,"Aksesoris Pintu"
ORD_0000692,"Aksesoris Pintu"
ORD_0000693,Celengan
ORD_0000693,"Perlengkapan Packing"
ORD_0000694,"Tempat Nasi"
ORD_0000695,"Aksesoris Pintu"
ORD_0000696,"Lunch Box / Rantang"
ORD_0000698,"Baskom / Mangkok Besar"
ORD_0000699,"Tempat Nasi"
ORD_0000700,Celengan
ORD_0000701,"Seal / Baut / Roof"
ORD_0000702,Keranjang
ORD_0000703,Celengan
ORD_0000704,"Gantungan Baju / Hanger"
ORD_0000704,"Mangkok Sambal / Saus"
ORD_0000704,"Nampan / Tray"
ORD_0000704,Other
ORD_0000704,"Pisau / Alat Potong"
ORD_0000704,"Saringan / Strainer"
ORD_0000705,Other
ORD_0000706,Celengan
ORD_0000707,Celengan
ORD_0000708,"Peralatan Kamar Mandi"
ORD_0000709,Keranjang
ORD_0000710,Keranjang
ORD_0000711,Celengan
ORD_0000712,Celengan
ORD_0000713,Celengan
ORD_0000714,Celengan
ORD_0000715,"Lunch Box / Rantang"
ORD_0000716,"Mangkok Sambal / Saus"
ORD_0000717,"Nampan / Tray"
ORD_0000718,Celengan
ORD_0000719,Celengan
ORD_0000720,Keranjang
ORD_0000721,"Aksesoris Pintu"
ORD_0000722,Celengan
ORD_0000723,Celengan
ORD_0000724,"Aksesoris Pintu"
ORD_0000725,Celengan
ORD_0000726,"Aksesoris Pintu"
ORD_0000727,Celengan
ORD_0000728,Celengan
ORD_0000729,"Rak / Rak Serbaguna"
ORD_0000730,Celengan
ORD_0000731,"Aksesoris Pintu"
ORD_0000732,Celengan
ORD_0000733,"Baskom / Mangkok Besar"
ORD_0000734,"Pisau / Alat Potong"
ORD_0000735,Celengan
ORD_0000736,"Rak / Rak Serbaguna"
ORD_0000737,Other
ORD_0000738,Celengan
ORD_0000739,"Mangkok Sambal / Saus"
ORD_0000740,Keranjang
ORD_0000741,"Aksesoris Pintu"
ORD_0000742,Piring
ORD_0000743,Celengan
ORD_0000744,Celengan
ORD_0000745,Celengan
